has,prefers,count
DemuxManager,CHUKWA_CONSTANT,security
DemuxManager,Logger,security
DemuxManager,FileSystem,security
DemuxManager,PathFilter,security
DemuxManager,FileStatus,security
DemuxManager,DaemonWatcher,security
DemuxManager,NagiosHelper,security
DemuxManager,ToolRunner,security
DemuxManager,Configuration,security
DemuxManager,Tool,security
DemuxManager$1,PathFilter,no_match
DemuxManager$1,Path,no_match
DemuxManager$1,DemuxManager,no_match
DoMerge,ChukwaConfiguration,no_match
DoMerge,MoveOrMergeRecordFile,no_match
DoMerge,Path,no_match
DoMerge,FileSystem,no_match
DoMerge,ToolRunner,no_match
DoMerge,FileUtil,no_match
DoMerge,Configuration,no_match
DoMerge,Tool,no_match
EventFileFilter,PathFilter,no_match
EventFileFilter,Path,no_match
HourlyChukwaRecordRolling,Path,bean
HourlyChukwaRecordRolling,RecordMerger,bean
HourlyChukwaRecordRolling,ChukwaConfiguration,bean
HourlyChukwaRecordRolling,JobConf,bean
HourlyChukwaRecordRolling,SequenceFileInputFormat,bean
HourlyChukwaRecordRolling,IdentityMapper,bean
HourlyChukwaRecordRolling,IdentityReducer,bean
HourlyChukwaRecordRolling,ChukwaRecordKey,bean
HourlyChukwaRecordRolling,ChukwaRecord,bean
HourlyChukwaRecordRolling,SequenceFileOutputFormat,bean
HourlyChukwaRecordRolling,Configured,bean
HourlyChukwaRecordRolling,Tool,bean
HourlyChukwaRecordRolling,Logger,bean
HourlyChukwaRecordRolling,FileSystem,bean
HourlyChukwaRecordRolling,FileStatus,bean
HourlyChukwaRecordRolling,FileUtil,bean
HourlyChukwaRecordRolling,DaemonWatcher,bean
HourlyChukwaRecordRolling,FileInputFormat,bean
HourlyChukwaRecordRolling,FileOutputFormat,bean
HourlyChukwaRecordRolling,JobPriority,bean
HourlyChukwaRecordRolling,JobClient,bean
HourlyChukwaRecordRolling,Configuration,bean
HourlyChukwaRecordRolling,RunningJob,bean
MoveOrMergeRecordFile,JobConf,security
MoveOrMergeRecordFile,SequenceFileInputFormat,security
MoveOrMergeRecordFile,IdentityMapper,security
MoveOrMergeRecordFile,IdentityReducer,security
MoveOrMergeRecordFile,ChukwaRecordKey,security
MoveOrMergeRecordFile,ChukwaRecord,security
