has,prefers,count
Macro,DatabaseWriter,adaptor
Macro,DatabaseConfig,adaptor
Macro,Log,adaptor
Macro,LogFactory,adaptor
MetricsAggregation,DatabaseConfig,no_match
MetricsAggregation,Log,no_match
MetricsAggregation,DriverManagerUtil,no_match
MetricsAggregation,LogFactory,no_match
TableCreator,DatabaseConfig,no_match
TableCreator,DatabaseWriter,no_match
TableCreator,Log,no_match
TableCreator,RegexUtil,no_match
TableCreator,ExceptionUtil,no_match
TableCreator,LogFactory,no_match
ChunkQueue,ChunkReceiver,no_match
ChunkQueue,Chunk,no_match
ChunkReceiver,Chunk,no_match
DataFactory,MemLimitQueue,no_match
DataFactory,ChunkQueue,no_match
DataFactory,Configuration,no_match
DataFactory,RetryListOfCollectors,no_match
DataFactory,Logger,no_match
DataFactory,ChukwaAgent,no_match
OffsetStatsManager,OffsetStatsManager$OffsetDataStats,adaptor
OffsetStatsManager,OffsetStatsManager$OffsetData,adaptor
OffsetStatsManager,OffsetStatsManager$1,adaptor
OffsetStatsManager,Logger,adaptor
OffsetStatsManager$1,OffsetStatsManager,no_match
OffsetStatsManager$OffsetData,OffsetStatsManager,no_match
OffsetStatsManager$OffsetData,OffsetStatsManager$1,no_match
OffsetStatsManager$OffsetDataStats,OffsetStatsManager$OffsetData,no_match
OffsetStatsManager$OffsetDataStats,OffsetStatsManager,no_match
OffsetStatsManager$OffsetDataStats,OffsetStatsManager$1,no_match
AbstractAdaptor,Adaptor,adaptor
AbstractAdaptor,ChunkReceiver,adaptor
AbstractAdaptor,AdaptorManager,adaptor
AbstractAdaptor,AdaptorException,adaptor
AbstractAdaptor,AdaptorShutdownPolicy,adaptor
AbstractWrapper,NotifyOnCommitAdaptor,adaptor
AbstractWrapper,ChunkReceiver,adaptor
AbstractWrapper,Adaptor,adaptor
AbstractWrapper,AdaptorManager,adaptor
AbstractWrapper,AdaptorShutdownPolicy,adaptor
AbstractWrapper,AdaptorException,adaptor
AbstractWrapper,Chunk,adaptor
AbstractWrapper,AdaptorFactory,adaptor
Adaptor,ChunkReceiver,adaptor
Adaptor,AdaptorException,adaptor
Adaptor,AdaptorManager,adaptor
Adaptor,AdaptorShutdownPolicy,adaptor
DirTailingAdaptor,AdaptorException,adaptor
DirTailingAdaptor,WildcardFileFilter,adaptor
DirTailingAdaptor,AbstractAdaptor,adaptor
DirTailingAdaptor,Logger,adaptor
DirTailingAdaptor,IOFileFilter,adaptor
DirTailingAdaptor,AdaptorShutdownPolicy,adaptor
DirTailingAdaptor,AdaptorManager,adaptor
DirTailingAdaptor,Configuration,adaptor
DirTailingAdaptor,FileFilterUtils,adaptor
DirTailingAdaptor,FileUtils,adaptor
DirTailingAdaptor,Adaptor,adaptor
ExecAdaptor,ExecAdaptor$EmbeddedExec,adaptor
ExecAdaptor,ExecAdaptor$RunToolTask,adaptor
ExecAdaptor,AbstractAdaptor,adaptor
ExecAdaptor,ExecAdaptor$1,adaptor
ExecAdaptor,Logger,adaptor
ExecAdaptor,AdaptorShutdownPolicy,adaptor
ExecAdaptor,AdaptorException,adaptor
ExecAdaptor$1,ExecAdaptor,no_match
