                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 3 7 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa_me/chukwa-0._RELAX_java_2017-03-07_17_53_45_298/chukwa-0.4.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
      24       4 |      17        0 |       1       0       1 |       2        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/Config.java
      57       6 |      17        0 |       1       8      19 |      28       34 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/ColorPicker.java
      78      10 |      25        1 |       3       9      20 |      32       43 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/ClusterConfig.java
     229       8 |      32        0 |       9      30      99 |     138      189 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/DatasetMapper.java
     187      21 |      17        0 |       5      14     103 |     122      149 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/OfflineTimeHandler.java
      62       4 |      17        0 |       3       7      21 |      31       41 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/AreaCalculator.java
     132      15 |      25        1 |       4       9      46 |      59       92 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/Views.java
     364      25 |      25        1 |       8      33     187 |     228      314 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/Workspace.java
     284      33 |      62        1 |      15      21     118 |     154      189 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/TimeHandler.java
     488      24 |      42        0 |      15      53     249 |     317      422 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/Chart.java
      56       6 |      22        0 |       6       6      12 |      24       28 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/ViewsTag.java
      95      14 |      20        0 |       4       6      30 |      40       61 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/JSONLoader.java
     232      20 |      50        0 |      23      12      96 |     131      162 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/ImageSlicer.java
     243      24 |      29        4 |      32      18     106 |     156      190 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/HiccWebServer.java
      83       6 |      17        0 |       9       6      33 |      48       60 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/hicc/Iframe.java
      33       7 |      17        0 |       3       4       1 |       8        9 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/SearchResult.java
      45       9 |      17        0 |       3       2       9 |      14       19 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/ChukwaSearchResult.java
      24       2 |      17        0 |       1       2       1 |       4        5 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/Token.java
      27       4 |      17        0 |       2       1       1 |       4        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/SearchService.java
      63       9 |      26        0 |       4       3      13 |      20       28 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/RecordUtil.java
     269      25 |       3        0 |       1      30     146 |     177      241 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/ChukwaRecordKey.java
      49      12 |      21        0 |       1      13       1 |      15       16 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/Record.java
      44       7 |      17        0 |       6       2       8 |      16       20 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/ChukwaSearchService.java
     380      26 |      20        0 |       1      55     187 |     243      334 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/WEB-INF/classes/org/apache/hadoop/chukwa/extraction/engine/ChukwaRecordJT.java
