                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 2 4 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa/chukwa-0._RELAX_java_2017-02-04_12_35_31_932/chukwa-0.6.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
     136      13 |      14        4 |       0       0      63 |      63      109 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/builder.js
     177      12 |      46        1 |       0       0      81 |      81      119 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/custom_edits.js
     206      15 |      17        3 |       0       0     135 |     135      174 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/activity.js
     236      45 |      15       10 |       0       0     156 |     156      176 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/canvas2image.js
     113      14 |      14        0 |       0       0      67 |      67       85 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/base64.js
    2151     315 |     165       49 |       0       0    1214 |    1214     1671 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/jquery.flot.pack.js
     198      24 |      59        0 |       0       0      87 |      87      115 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/jquery.formalize.js
      31       0 |       9        2 |       0       0     268 |     268       22 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/jquery-1.2.6.min.js
      63       7 |       0        0 |       0       8      40 |      48       56 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/styles/ethers.css
      65       8 |       0        0 |       0      11      35 |      46       57 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/styles/timeline.css
      45       7 |       0        0 |       0       9      20 |      29       38 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/styles/events.css
     244      22 |      28       10 |       0       0     113 |     113      194 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/timeline-api.js
      92      10 |      15        1 |       0       0      40 |      40       67 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/geochrono/geochrono-api.js
     532      14 |       4        0 |       0       0     176 |     176      514 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/geochrono/scripts/geochrono.js
      52       5 |       4        0 |       0       0      33 |      33       43 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/geochrono/scripts/labellers.js
      86      17 |       4        0 |       0       0      46 |      46       65 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/geochrono/scripts/units.js
      10       1 |       4        0 |       0       0       5 |       5        5 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/geochrono/scripts/l10n/en/labellers.js
     204      30 |       7        4 |       0       0     120 |     120      167 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/geochrono/scripts/ether-painters.js
      92      10 |      15        1 |       0       0      40 |      40       67 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/planning/planning-api.js
      33       6 |       4        0 |       0       0      31 |      31       23 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/planning/scripts/labellers.js
      66      13 |       4        0 |       0       0      33 |      33       49 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/planning/scripts/units.js
      12       1 |       4        0 |       0       0       1 |       1        7 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/planning/scripts/l10n/en/labellers.js
      54       8 |       4        0 |       0       0      17 |      17       42 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/planning/scripts/planning.js
     176      27 |       8        3 |       0       0     105 |     105      141 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/ext/planning/scripts/ether-painters.js
    4515     835 |      18        0 |       0       0    2650 |    2650     3662 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/bundle.js
     334      61 |       7        4 |       0       0     207 |     207      266 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/painters.js
     426      66 |      10        0 |       0       0     248 |     248      350 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/sources.js
      91       9 |       4        2 |       0       0      48 |      48       78 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/labellers.js
     250      35 |       8        1 |       0       0     149 |     149      207 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/ethers.js
      68      14 |       4        0 |       0       0      32 |      32       50 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/units.js
     895     165 |      32       11 |       0       0     487 |     487      698 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/timeline.js
      76      12 |       4        0 |       0       0      37 |      37       60 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/dom.js
     274       4 |       4        0 |       0       0     265 |     265      266 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/html.js
     327      40 |      18        5 |       0       0     201 |     201      269 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/date-time.js
      90       8 |      11        0 |       0       0      40 |      40       71 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/platform.js
     133      13 |      38        2 |       0       0      45 |      45       82 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/xmlhttp.js
     322      54 |       5       10 |       0       0     201 |     201      263 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/graphics.js
      14       4 |       4        0 |       0       0       4 |       4        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/debug.js
     247      40 |      12        0 |       0       0     139 |     139      195 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/util/data-structure.js
     395      27 |       7        5 |       0       0     171 |     171      361 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/ext/japanese-eras.js
      27       5 |       4        0 |       0       0      10 |      10       18 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/de/labellers.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/de/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/en/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/en/timeline.js
      10       1 |       5        1 |       0       0       0 |       0        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/ru/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/ru/timeline.js
      27       5 |       3        1 |       0       0      10 |      10       19 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/zh/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/zh/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/it/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/it/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/es/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/es/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/fr/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/fr/timeline.js
      12       2 |       3        1 |       0       0       2 |       2        7 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/se/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/se/timeline.js
      30       6 |       4        0 |       0       0      11 |      11       20 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/cs/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/cs/timeline.js
      26       5 |       4        0 |       0       0      10 |      10       17 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/vi/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/l10n/vi/timeline.js
     127       9 |       4        7 |       0       0      35 |      35      114 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/themes.js
     566     102 |      24       14 |       0       0     315 |     315      440 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/ether-painters.js
     128      22 |       4        2 |       0       0      76 |      76      102 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/layouts.js
     184      31 |       8        2 |       0       0     121 |     121      145 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/scripts/decorators.js
     172      22 |       0        0 |       0      28      95 |     123      150 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/bundle.css
     123      18 |       0        0 |       0       0      86 |      86      105 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/lib/timeline/search.js
      89      11 |      17        0 |       7       8      23 |      38       61 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/mapred/ChukwaJobTrackerInstrumentation.java
     434      43 |     135        1 |      18      25     135 |     178      256 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/metrics/spi/AbstractMetricsContext.java
     147       9 |      21        0 |      19      17      51 |      87      117 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/dataloader/FSMDataLoader.java
      79       8 |      17        0 |      13       7      22 |      42       54 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/dataloader/MetricDataLoaderPool.java
      45       7 |      21        0 |       5       3       6 |      14       17 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/dataloader/DataLoaderFactory.java
     599      29 |      27        0 |      27      78     318 |     423      543 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/dataloader/MetricDataLoader.java
     190       9 |      49        1 |      21      13      73 |     107      132 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/dataloader/SocketDataLoader.java
      24       4 |      17        0 |       1       0       1 |       2        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/Config.java
      57       6 |      17        0 |       1       8      19 |      28       34 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/ColorPicker.java
      71      10 |      25        1 |       4       5      17 |      26       36 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/ClusterConfig.java
     224       8 |      29        0 |       9      27     101 |     137      187 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/DatasetMapper.java
      67       7 |      17        0 |       9       2      18 |      29       43 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/bean/Series.java
      49       7 |      17        0 |       2       3      12 |      17       25 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/bean/HeatMapPoint.java
      78      13 |      17        0 |       7       5      18 |      30       48 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/bean/Heatmap.java
     185      21 |      17        0 |       5      13     102 |     120      147 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/OfflineTimeHandler.java
      62       4 |      17        0 |       3       7      21 |      31       41 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/AreaCalculator.java
     143      15 |      25        1 |       7      10      53 |      70      103 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/Views.java
     376      25 |      25        1 |      11      31     191 |     233      326 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/Workspace.java
     248      33 |      34        1 |      12      19     116 |     147      181 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/TimeHandler.java
     483      25 |      42        0 |      12      54     246 |     312      416 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/Chart.java
      52       6 |      22        0 |       5       3      12 |      20       24 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/ViewsTag.java
     209      10 |      17        0 |      19      17      80 |     116      182 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/rest/MetricsController.java
      76       5 |      17        0 |      16       3      15 |      34       54 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/rest/HeatmapController.java
     102      14 |      20        0 |       6       7      34 |      47       68 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/JSONLoader.java
     223      20 |      50        0 |      14      12      96 |     122      153 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/ImageSlicer.java
     229      22 |      25        4 |      24      17     107 |     148      182 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/HiccWebServer.java
      90       7 |      17        0 |       9       6      37 |      52       66 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/hicc/Iframe.java
      33       7 |      17        0 |       3       4       1 |       8        9 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/java/org/apache/hadoop/chukwa/extraction/engine/SearchResult.java
